Code,lat,lng,Specified Course,Specified Duration,Destination Name,Destination Identified,Calculated Lat,Calculated Lng,Fitted Course,Fitted Distance,Course Error,Dist Error Factor
shipyard-taicang,32.0634,118.7287,,,,,,,,,,
shipyard-taicang,32.0612,118.7229,,,,,,,,,,
shipyard-taicang,32.0870,118.7241,,,,,,,,,,
shipyard-taicang,32.1024,118.7286,,,,,,,,,,
shipyard-taicang,32.1202,118.7435,,,,,,,,,,
shipyard-taicang,32.1365,118.7826,,,,,,,,,,
shipyard-taicang,32.1573,118.8123,,,,,,,,,,
shipyard-taicang,32.1625,118.8383,,,,,,,,,,
shipyard-taicang,32.1807,118.8712,,,,,,,,,,
shipyard-taicang,32.1813,118.9042,,,,,,,,,,
shipyard-taicang,32.1763,118.9661,,,,,,,,,,
shipyard-taicang,32.1826,119.0085,,,,,,,,,,
shipyard-taicang,32.1929,119.0312,,,,,,,,,,
shipyard-taicang,32.2100,119.0511,,,,,,,,,,
shipyard-taicang,32.2292,119.0648,,,,,,,,,,
shipyard-taicang,32.2430,119.0822,,,,,,,,,,
shipyard-taicang,32.2466,119.1067,,,,,,,,,,
shipyard-taicang,32.2449,119.1579,,,,,,,,,,
shipyard-taicang,32.2215,119.2314,,,,,,,,,,
shipyard-taicang,32.1980,119.2770,,,,,,,,,,
shipyard-taicang,32.1926,119.3053,,,,,,,,,,
shipyard-taicang,32.1978,119.3455,,,,,,,,,,
shipyard-taicang,32.2201,119.3781,,,,,,,,,,
shipyard-taicang,32.2511,119.4080,,,,,,,,,,
shipyard-taicang,32.2598,119.4281,,,,,,,,,,
shipyard-taicang,32.2635,119.4677,,,,,,,,,,
shipyard-taicang,32.2577,119.5067,,,,,,,,,,
shipyard-taicang,32.2501,119.5235,,,,,,,,,,
shipyard-taicang,32.2315,119.5476,,,,,,,,,,
shipyard-taicang,32.2312,119.6196,,,,,,,,,,
shipyard-taicang,32.2040,119.6154,,,,,,,,,,
shipyard-taicang,32.1946,119.6214,,,,,,,,,,
shipyard-taicang,32.2035,119.6494,,,,,,,,,,
shipyard-taicang,32.2153,119.6669,,,,,,,,,,
shipyard-taicang,32.2362,119.6785,,,,,,,,,,
shipyard-taicang,32.2854,119.6967,,,,,,,,,,
shipyard-taicang,32.3121,119.7221,,,,,,,,,,
shipyard-taicang,32.3301,119.7585,,,,,,,,,,
shipyard-taicang,32.3225,119.7915,,,,,,,,,,
shipyard-taicang,32.3109,119.8217,,,,,,,,,,
shipyard-taicang,32.2697,119.8615,,,,,,,,,,
shipyard-taicang,32.2198,119.8862,,,,,,,,,,
shipyard-taicang,32.1134,119.9103,,,,,,,,,,
shipyard-taicang,32.0686,119.9281,,,,,,,,,,
shipyard-taicang,32.0186,119.9597,,,,,,,,,,
shipyard-taicang,31.9667,120.0215,,,,,,,,,,
shipyard-taicang,31.9428,120.1341,,,,,,,,,,
shipyard-taicang,31.9353,120.2392,,,,,,,,,,
shipyard-taicang,31.9568,120.2907,,,,,,,,,,
shipyard-taicang,32.0465,120.4411,,,,,,,,,,
shipyard-taicang,32.0436,120.4754,,,,,,,,,,
shipyard-taicang,32.0145,120.5592,,,,,,,,,,
shipyard-taicang,31.9976,120.6203,,,,,,,,,,
shipyard-taicang,32.0092,120.7576,,,,,,,,,,
shipyard-taicang,31.9883,120.8098,,,,,,,,,,
shipyard-taicang,31.7976,120.9196,,,,,,,,,,
shipyard-taicang,31.7760,120.9705,,,,,,,,,,
shipyard-taicang,31.7550,121.0968,,,,,,,,,,
shipyard-taicang,31.6879,121.2170,,,,,,,,,,
shipyard-taicang,31.5885,121.3241,,,,,,,,,,
shipyard-taicang,31.5458,121.3560,,,,,,,,,,
taicang-nanhuizui,31.5228,121.3138,105.0°,2.4 hours,even with Wusong River,TRUE,31.492°,121.432°,111.3°,24.5 km,6.3°,2.0
taicang-nanhuizui,31.4425,121.5544,97.5°,2.4 hours,Nanhuizui,TRUE,31.478°,121.558°,133.6°,82.2 km,36.1°,6.8
taicang-nanhuizui,30.9318,122.1786,,,,,,,,,,
zhaobao-jiushan,31.5329,121.4146,112.5°,7.2 hours,exit the main current,,31.408°,121.762°,,,,
zhaobao-jiushan,31.2904,121.7575,,,,,,,,,,
zhaobao-jiushan,31.2904,121.7575,142.5°,9.6 hours,Ta[qishan] and Xiaoqishan,FALSE,30.797°,122.216°,,,,
zhaobao-jiushan,30.8387,122.1689,232.5°,3.6 hours,,,30.701°,122.071°,,,,
zhaobao-jiushan,30.6841,121.9423,202.5°,3.6 hours,[Dong]huoshan,TRUE,30.552°,121.999°,,,,
zhaobao-jiushan,30.5920,121.8800,180.0°,7.2 hours,[Dong]huoshan,TRUE,30.228°,121.999°,,,,
zhaobao-jiushan,30.1096,121.8800,180.0°,14.4 hours,Xihoumen,TRUE,29.581°,121.999°,,,,
zhaobao-jiushan,29.9252,122.0188,142.5°,7.2 hours,Damoshan,TRUE,29.804°,122.151°,,,,
zhaobao-jiushan,29.9159,122.0842,112.5°,2.4 hours,"pass Xiaomoshan, round Qitou, and reach Shengluoxu",FALSE,29.763°,122.266°,,,,
zhaobao-jiushan,29.9070,122.1359,,,,,,,,,,
zhaobao-jiushan,29.8776,122.1506,,,,,,,,,,
zhaobao-jiushan,29.7998,122.0703,,,,,,,,,,
zhaobao-jiushan,29.7003,122.0269,202.5°,2.4 hours,exit Shuangyu Port,TRUE,29.700°,122.027°,,,,
